eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
Van Hasselt's Sunbird,Van Hasselt's Sunbird,Leptocoma brasiliana,,,,,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Purple Sunbird,Purple Sunbird,Cinnyris asiaticus,Low,Increase,Trend Inconclusive,Very Large,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,
Ornate Sunbird,Olive-backed Sunbird,Cinnyris jugularis,Moderate,Insufficient Data,Insufficient Data,Restricted,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,TRUE,Least Concern,Schedule-II,,,
Loten's Sunbird,Loten's Sunbird,Cinnyris lotenius,Low,Trend Inconclusive,Rapid Increase,Large,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Fire-tailed Sunbird,Fire-tailed Sunbird,Aethopyga ignicauda,Low,Insufficient Data,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Black-throated Sunbird,Black-throated Sunbird,Aethopyga saturata,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Mrs. Gould's Sunbird,Mrs. Gould's Sunbird,Aethopyga gouldiae,Low,Insufficient Data,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Green-tailed Sunbird,Green-tailed Sunbird,Aethopyga nipalensis,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Vigors's Sunbird,Vigors's Sunbird,Aethopyga vigorsii,Low,Insufficient Data,Stable,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Western Ghats,TRUE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,
Crimson Sunbird,Crimson Sunbird,Aethopyga siparaja,Low,Stable,Trend Inconclusive,Large,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,
Little Spiderhunter,Little Spiderhunter,Arachnothera longirostra,Moderate,Rapid Decline,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Streaked Spiderhunter,Streaked Spiderhunter,Arachnothera magna,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Asian Fairy-bluebird,Asian Fairy-bluebird,Irena puella,Moderate,Decline,Stable,Moderate,Passeriformes,Irenidae (Fairy-bluebirds),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Blue-winged Leafbird,Blue-winged Leafbird,Chloropsis cochinchinensis,Moderate,Insufficient Data,Insufficient Data,Restricted,Passeriformes,Chloropseidae (Leafbirds),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
